airport_code,latitude,longitude,timezone
LAN,42.77861111,-84.58611111,America/Detroit
LAR,41.31194444,-105.675,America/Denver
LAS,36.08,-115.15222222,America/Los_Angeles
LAW,34.56777778,-98.41666667,America/Chicago
LAX,33.9425,-118.40805556,America/Los_Angeles
LBB,33.66361111,-101.82055556,America/Chicago
LBE,40.27305556,-79.41027778,America/New_York
LBF,41.12611111,-100.68361111,America/Chicago
LBL,37.04388889,-100.96,America/Chicago
LCH,30.12611111,-93.22333333,America/Chicago
LCK,39.81388889,-82.92777778,America/New_York
LEX,38.03666667,-84.60861111,America/New_York
LFT,30.205,-91.98777778,America/Chicago
LGA,40.77722222,-73.8725,America/New_York
LGB,33.81805556,-118.15194444,America/Los_Angeles
LIH,21.97611111,-159.33888889,Pacific/Honolulu
LIT,34.72944444,-92.22472222,America/Chicago
LNK,40.85083333,-96.75916667,America/Chicago
LRD,27.54416667,-99.46166667,America/Chicago
LSE,43.87916667,-91.25666667,America/Chicago
LWS,46.37444444,-117.01527778,America/Los_Angeles
MAF,31.9425,-102.20194444,America/Chicago
MBS,43.53305556,-84.07972222,America/Detroit
MCI,39.2975,-94.71388889,America/Chicago
MCO,28.42944444,-81.30888889,America/New_York
MCW,43.15777778,-93.33111111,America/Chicago
MDT,40.19305556,-76.7625,America/New_York
MDW,41.78583333,-87.7525,America/Chicago
MEI,32.3325,-88.75194444,America/Chicago
MEM,35.0425,-89.97666667,America/Chicago
MFE,26.17583333,-98.23861111,America/Chicago
MFR,42.375,-122.87333333,America/Los_Angeles
MGM,32.30055556,-86.39388889,America/Chicago
MHK,39.14111111,-96.67194444,America/Chicago
MHT,42.93277778,-71.43583333,America/New_York
MIA,25.79527778,-80.29,America/New_York
MKE,42.94694444,-87.89694444,America/Chicago
MLB,28.10277778,-80.64527778,America/New_York
MLI,41.44833333,-90.50777778,America/Chicago
MLU,32.51055556,-92.03611111,America/Chicago
MOB,30.69138889,-88.24277778,America/Chicago
MOT,48.25777778,-101.27805556,America/Chicago
MQT,46.34916667,-87.39638889,America/Detroit
MRY,36.58694444,-121.84305556,America/Los_Angeles
MSN,43.14,-89.3375,America/Chicago
MSO,46.91638889,-114.09055556,America/Denver
MSP,44.88194444,-93.22166667,America/Chicago
MSY,29.99333333,-90.25916667,America/Chicago
MTJ,38.50972222,-107.89416667,America/Denver
MYR,33.67972222,-78.92833333,America/New_York
OAJ,34.82916667,-77.61222222,America/New_York
OAK,37.72138889,-122.22111111,America/Los_Angeles
OGG,20.89861111,-156.43055556,Pacific/Honolulu
OKC,35.39305556,-97.60083333,America/Chicago
OMA,41.30305556,-95.89416667,America/Chicago
OME,64.51055556,-165.44472222,America/Nome
ONT,34.05611111,-117.60111111,America/Los_Angeles
ORD,41.97694444,-87.90805556,America/Chicago
ORF,36.89472222,-76.20111111,America/New_York
ORH,42.26722222,-71.87555556,America/New_York
OTH,43.41694444,-124.24694444,America/Los_Angeles
OTZ,66.88472222,-162.59805556,America/Nome
PAE,47.90722222,-122.28222222,America/Los_Angeles
PBG,44.65083333,-73.46805556,America/New_York
PBI,26.68305556,-80.09555556,America/New_York
PDX,45.58861111,-122.59694444,America/Los_Angeles
PGD,26.91861111,-81.99083333,America/New_York
PHL,39.87194444,-75.24055556,America/New_York
PHX,33.43416667,-112.01166667,America/Phoenix
PIA,40.66416667,-89.69333333,America/Chicago
PIB,31.46722222,-89.33694444,America/Chicago
PIE,27.90861111,-82.68638889,America/New_York
PIH,42.90972222,-112.59583333,America/Boise
PIT,40.49138889,-80.23277778,America/New_York
PLN,45.57083333,-84.79666667,America/Detroit
PNS,30.47333333,-87.18666667,America/Chicago
PPG,-14.33,-170.71027778,Pacific/Pago_Pago
PRC,34.65472222,-112.41916667,America/Phoenix
PSC,46.26472222,-119.11888889,America/Los_Angeles
PSE,18.00888889,-66.56444444,America/Puerto_Rico
PSG,56.80138889,-132.94611111,America/Sitka
PSM,43.07805556,-70.82333333,America/New_York
PSP,33.82972222,-116.50666667,America/Los_Angeles
PVD,41.72222222,-71.42777778,America/New_York
PVU,40.21916667,-111.72333333,America/Denver
PWM,43.64555556,-70.30861111,America/New_York
RAP,44.04527778,-103.05722222,America/Denver
RDD,40.50888889,-122.29333333,America/Los_Angeles
RDM,44.25416667,-121.15055556,America/Los_Angeles
RDU,35.87777778,-78.7875,America/New_York
RFD,42.19527778,-89.09722222,America/Chicago
RHI,45.63083333,-89.46666667,America/Chicago
RIC,37.50527778,-77.31972222,America/New_York
RIW,43.06416667,-108.45972222,America/Denver
RKS,41.59416667,-109.06527778,America/Denver
RNO,39.49916667,-119.76805556,America/Los_Angeles
ROA,37.32555556,-79.97555556,America/New_York
ROC,43.11916667,-77.67194444,America/New_York
ROW,33.3,-104.52944444,America/Denver
RST,43.90833333,-92.5,America/Chicago
RSW,26.53611111,-81.75527778,America/New_York
SAF,35.61722222,-106.08944444,America/Denver
SAN,32.73361111,-117.18972222,America/Los_Angeles
SAT,29.53388889,-98.46916667,America/Chicago
SAV,32.1275,-81.20222222,America/New_York
SBA,34.42611111,-119.84138889,America/Los_Angeles
SBN,41.70833333,-86.31722222,America/Indiana/Indianapolis
SBP,35.23722222,-120.6425,America/Los_Angeles
SCC,70.19472222,-148.46527778,America/Anchorage
SCE,40.85,-77.8475,America/New_York
SCK,37.89444444,-121.23861111,America/Los_Angeles
SDF,38.17416667,-85.73638889,America/Kentucky/Louisville
SEA,47.45,-122.31166667,America/Los_Angeles
SFB,28.77722222,-81.235,America/New_York
SFO,37.61888889,-122.37555556,America/Los_Angeles
SGF,37.24555556,-93.38861111,America/Chicago
SGU,37.03638889,-113.51027778,America/Denver
SHR,44.76916667,-106.98027778,America/Denver
SHV,32.44638889,-93.82611111,America/Chicago
SIT,57.04694444,-135.36111111,America/Sitka
SJC,37.36305556,-121.92861111,America/Los_Angeles
SJT,31.35777778,-100.49638889,America/Chicago
SJU,18.43944444,-66.00222222,America/Puerto_Rico
SLC,40.78833333,-111.97777778,America/Denver
SLN,38.79055556,-97.65222222,America/Chicago
SMF,38.69555556,-121.59083333,America/Los_Angeles
SMX,34.9,-120.45805556,America/Los_Angeles
SNA,33.67555556,-117.86833333,America/Los_Angeles
SPI,39.84416667,-89.67805556,America/Chicago
SPN,15.12027778,145.73,Pacific/Saipan
SPS,33.98888889,-98.49194444,America/Chicago
SRQ,27.39555556,-82.55444444,America/New_York
STC,45.54611111,-94.05944444,America/Chicago
STL,38.74861111,-90.37,America/Chicago
STS,38.50972222,-122.81277778,America/Los_Angeles
STT,18.33722222,-64.97333333,America/St_Thomas
STX,17.70138889,-64.80194444,America/St_Thomas
SUN,43.50388889,-114.29555556,America/Boise
SUX,42.40138889,-96.38444444,America/Chicago
SWF,41.50416667,-74.10472222,America/New_York
SWO,36.16138889,-97.08583333,America/Chicago
SYR,43.11111111,-76.10638889,America/New_York
TLH,30.39666667,-84.35083333,America/New_York
TOL,41.58694444,-83.80777778,America/New_York
TPA,27.97555556,-82.53333333,America/New_York
TRI,36.47527778,-82.4075,America/New_York
TTN,40.27666667,-74.81333333,America/New_York
TUL,36.19833333,-95.88805556,America/Chicago
TUS,32.11611111,-110.94111111,America/Phoenix
TVC,44.74166667,-85.58194444,America/Detroit
TWF,42.48194444,-114.48777778,America/Boise
TXK,33.45361111,-93.99111111,America/Chicago
TYR,32.35361111,-95.40305556,America/Chicago
TYS,35.81111111,-83.99416667,America/New_York
USA,35.38777778,-80.70916667,America/New_York
VCT,28.85416667,-96.91861111,America/Chicago
VEL,40.43611111,-109.51138889,America/Denver
VLD,30.78138889,-83.27611111,America/New_York
VPS,30.48333333,-86.52527778,America/Chicago
WRG,56.48444444,-132.36972222,America/Sitka
XNA,36.28166667,-94.30777778,America/Chicago
XWA,48.25972222,-103.75055556,America/Chicago
YAK,59.50333333,-139.66027778,America/Yakutat
YUM,32.65666667,-114.60611111,America/Phoenix
